,timestamp,distance(L),pupil(L),distance(R),pupil(R),duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,881,769.041,3.281,765.7739999999999,3.2960000000000003,199,734,559,767.4075,3.2885
1,2276,774.681,3.463,761.5880000000001,3.458,259,258,549,768.1345000000001,3.4605
2,2954,775.972,3.457,765.32,3.38,120,118,565,770.646,3.4185
3,3831,780.86,3.359,763.812,3.359,100,202,557,772.336,3.359
4,4589,778.293,3.287,767.705,3.452,259,298,556,772.999,3.3695
5,5426,782.035,3.2760000000000002,761.421,3.2969999999999997,120,106,548,771.7280000000001,3.2865
6,5566,780.0110000000001,3.319,770.492,3.2510000000000003,100,88,546,775.2515000000001,3.285
7,6164,764.84,3.1289999999999996,773.5110000000001,3.1660000000000004,100,123,160,769.1755,3.1475
8,6284,766.034,3.154,772.5210000000001,3.153,219,102,199,769.2775,3.1535
9,6523,766.257,3.2060000000000004,768.3860000000001,3.241,279,76,226,767.3215,3.2235000000000005
10,6822,770.8710000000001,3.263,762.27,3.2539999999999996,140,82,247,766.5705,3.2584999999999997
11,6981,768.934,3.4019999999999997,767.722,3.29,219,252,222,768.328,3.346
12,7281,767.89,3.3139999999999996,773.533,3.377,439,292,235,770.7115,3.3454999999999995
13,7939,770.571,3.4589999999999996,757.7260000000001,3.342,159,49,573,764.1485,3.4005
14,9553,781.7460000000001,3.318,767.0319999999999,3.3110000000000004,159,331,534,774.389,3.3145000000000002
15,10510,768.664,3.115,769.0239999999999,3.279,120,458,777,768.8439999999999,3.197
16,11029,770.3919999999999,3.036,772.426,3.2260000000000004,120,433,760,771.409,3.1310000000000002
17,11607,784.7360000000001,3.235,775.428,3.415,100,266,557,780.0820000000001,3.325
18,11727,778.674,3.3339999999999996,771.413,3.4939999999999998,100,251,557,775.0435,3.4139999999999997
19,12006,776.632,3.255,765.831,3.3939999999999997,100,331,545,771.2315,3.3244999999999996
20,12524,778.686,3.31,768.255,3.339,160,130,555,773.4705,3.3245
21,12923,785.0930000000001,3.303,765.8439999999999,3.424,160,78,547,775.4685,3.3635
22,13401,785.2639999999999,3.387,763.238,3.5469999999999997,100,182,532,774.251,3.4669999999999996
23,14478,778.677,3.372,759.365,3.59,140,85,549,769.021,3.481
24,16851,766.19,3.4610000000000003,748.235,3.5260000000000002,160,29,506,757.2125000000001,3.4935
25,17130,758.462,3.4330000000000003,742.789,3.5469999999999997,259,33,535,750.6255,3.49
26,18904,772.9839999999999,3.5,750.495,3.4210000000000003,100,205,546,761.7394999999999,3.4605
27,19203,770.882,3.443,754.295,3.551,179,94,557,762.5885,3.497
28,20898,770.304,3.258,764.956,3.636,120,664,524,767.63,3.447
29,21237,769.165,3.4160000000000004,769.7639999999999,3.3310000000000004,100,703,558,769.4644999999999,3.3735000000000004
30,22593,771.9839999999999,3.2680000000000002,775.563,3.418,100,738,586,773.7735,3.343
31,22712,773.1160000000001,3.3280000000000003,775.587,3.4619999999999997,219,727,581,774.3515,3.395
32,23211,771.0169999999999,3.216,763.7330000000001,3.358,100,142,577,767.375,3.287
33,23390,778.291,3.28,767.4760000000001,3.444,180,107,567,772.8835000000001,3.362
34,23769,769.671,3.39,766.2669999999999,3.353,140,775,551,767.969,3.3715
35,23948,769.9939999999999,3.2319999999999998,770.25,3.306,139,765,561,770.122,3.269
36,24227,769.638,3.2230000000000003,767.29,3.2680000000000002,180,781,569,768.4639999999999,3.2455000000000003
37,24746,767.08,3.17,770.388,3.4010000000000002,219,80,243,768.734,3.2855
38,24985,773.05,3.085,762.773,3.137,120,52,250,767.9114999999999,3.1109999999999998
39,25184,778.041,3.16,771.372,3.177,379,287,223,774.7065,3.1685
40,26002,770.054,3.3360000000000003,771.74,3.262,160,752,557,770.8969999999999,3.2990000000000004
41,27497,775.005,3.389,772.173,3.515,100,112,227,773.5889999999999,3.452
42,27617,771.0139999999999,3.177,769.691,3.238,140,68,229,770.3525,3.2075
43,27796,772.0269999999999,3.193,768.138,3.34,199,274,232,770.0825,3.2664999999999997
44,28016,766.5269999999999,3.345,769.2860000000001,3.253,239,299,243,767.9065,3.2990000000000004
45,28275,770.702,3.222,768.0239999999999,3.385,120,281,242,769.3629999999999,3.3034999999999997
46,28414,773.9910000000001,3.2060000000000004,770.2860000000001,3.262,140,285,234,772.1385,3.234
47,28594,779.102,3.29,770.8380000000001,3.287,159,298,240,774.97,3.2885
48,28813,772.444,3.2539999999999996,766.794,3.283,160,88,231,769.6189999999999,3.2684999999999995
49,29232,773.541,3.322,750.1010000000001,3.24,379,64,242,761.8210000000001,3.281
50,29690,771.503,3.216,752.4169999999999,3.17,299,53,246,761.96,3.193
51,30069,767.325,3.241,766.732,3.1719999999999997,100,278,236,767.0285,3.2065
52,30189,773.658,3.355,766.77,3.281,120,290,234,770.2139999999999,3.318
